context,question,A,B,C,D,result
"Khám lâm_sàng . Hình_ảnh X-quang : Hẹp khe khớp : dấu_hiệu chứng_tỏ mòn sụn khớp . Mọc gai xương : phát_triển ở tất_cả các vị_trí , ở cả chỏm xương đùi và xương_chậu , chính điều này giải_thích tại_sao các động_tác của khớp háng bị hạn_chế . Đặc xương dưới sụn : quan_sát được ở vùng chịu lực tỳ đè lớn . Khuyết xương : cũng thường gặp , đôi_khi có kích_thước lớn . Chụp_CT scanner hoặc MRI ( tuỳ trường_hợp ) . nan . nan . nan . nan .","Thoái_hoá khớp háng là bệnh_lý chủ_yếu gặp ở người lớn_tuổi , là hậu_quả của tuổi_tác và tình_trạng mài mòn khớp kéo_dài . Khi nghi_ngờ bệnh_nhân thoái_hoá khớp háng , chỉ_định cận lâm_sàng đầu_tay để chẩn_đoán xác_định là gì ?",Xquang .,CT-Scan.,MRI .,Siêu_âm .,A.
"Điều_trị bệnh_bạch_cầu phụ_thuộc vào nhiều yếu_tố , bác_sĩ xác_định các lựa_chọn điều_trị bệnh_bạch_cầu dựa trên tuổi_tác và sức_khoẻ tổng_thể , loại bệnh_bạch_cầu mà người_bệnh mắc phải và liệu nó có lan sang các bộ_phận khác của cơ_thể , bao_gồm cả hệ_thống thần_kinh_trung_ương . Các phương_pháp điều_trị phổ_biến được sử_dụng để chống lại bệnh_bạch_cầu bao_gồm : Hoá_trị . Hoá_trị là hình_thức điều_trị chính cho bệnh_bạch_cầu bằng cách sử_dụng các hoá_chất để tiêu_diệt các tế_bào bạch_cầu . Tuỳ_thuộc vào loại bệnh_bạch_cầu , người_bệnh có_thể sử_dụng một hay kết_hợp các loại thuốc . Những loại thuốc này có_thể ở dạng thuốc viên hoặc tiêm trực_tiếp vào tĩnh_mạch . Liệu_pháp sinh_học . Liệu_pháp sinh_học hoạt_động bằng cách sử_dụng các phương_pháp điều_trị giúp hệ_thống miễn_dịch nhận_biết và tấn_công các tế_bào ung_thư bạch_cầu . Liệu_pháp nhắm trúng đích được sử_dụng rộng_rãi trong điều_trị ung_thư , là phương_pháp dùng thuốc sinh_học để ngăn_chặn sự phát_triển và lan_tràn của tế_bào ung_thư , can_thiệp vào các phân_tử đặc_hiệu trong cơ_chế sinh ung và sự phát_triển của khối_u . Ví_dụ , thuốc imatinib ( Gleevec ) ngăn_chặn hoạt_động của loại protein trong các tế_bào ung_thư bạch_cầu của những người mắc bệnh_bạch_cầu tuỷ xương mãn_tính , từ đó giúp kiểm_soát bệnh . Xạ_trị . Xạ_trị sử_dụng tia X hoặc các chùm năng_lượng cao khác để bắn phá các tế_bào ung_thư bạch_cầu và ngăn_chặn sự phát_triển của chúng . Trong quá_trình xạ_trị , người_bệnh nằm trên bàn cạnh một cỗ máy lớn di_chuyển xung_quanh hướng bức_xạ đến các điểm chính_xác trên cơ_thể . Người_bệnh được bức_xạ ở một khu_vực cụ_thể của cơ_thể , nơi có một bộ các tế_bào ung_thư bạch_cầu , hoặc bức_xạ trên toàn_bộ cơ_thể người_bệnh . Liệu_pháp xạ_trị có_thể được sử_dụng để chuẩn_bị cho việc cấy_ghép tế_bào gốc . Ghép tế_bào gốc . Ghép tế_bào gốc là một thủ_tục để thay_thế tuỷ xương bị bệnh bằng tuỷ xương khoẻ_mạnh . Trước khi ghép tế_bào gốc , người_bệnh sẽ được hoá_trị liệu hoặc xạ_trị liều cao để tiêu_diệt tuỷ xương bị bệnh . Sau đó , người_bệnh được truyền tế_bào gốc tạo máu giúp xây_dựng lại tuỷ xương . nan . nan . nan . nan .","Sau khi kiểm_tra sức_khoẻ tại bệnh_viện gần nhà , chị Nhi được bác_sĩ chẩn_đoán mắc bệnh Leukemia cấp . Bác_sĩ cũng cho chị Nhi biết về các biện_pháp để điêu trị bệnh_bạch_cầu , trong đó việc điều_trị bệnh_bạch_cầu phụ_thuộc vào nhiều yếu_tố , bác_sĩ xác_định các lựa_chọn điều_trị bệnh_bạch_cầu dựa trên tuổi_tác và sức_khoẻ tổng_thể , loại bệnh_bạch_cầu mà người_bệnh mắc phải và liệu nó có lan sang các bộ_phận khác của cơ_thể , bao_gồm cả hệ_thống thần_kinh_trung_ương . Vậy trong các ý_kiến dưới đây , ý_kiến nào đúng khi nói về các biện_pháp được sử_dụng để điều_trị bệnh Leukemia cấp ?","Liệu_pháp nhắm trúng đích được sử_dụng rộng_rãi trong điều_trị ung_thư , là phương_pháp dùng thuốc hoá_học để ngăn_chặn sự phát_triển và lan_tràn của tế_bào ung_thư , can_thiệp vào các phân_tử đặc_hiệu trong cơ_chế sinh ung và sự phát_triển của khối_u .","Xạ_trị : người_bệnh được bức_xạ ở một khu_vực cụ_thể của cơ_thể , nơi có một bộ các tế_bào ung_thư bạch_cầu , hoặc bức_xạ trên toàn_bộ cơ_thể người_bệnh .","Trước khi ghép tế_bào gốc , người_bệnh sẽ được hoá_trị liệu hoặc xạ_trị liều cao để tiêu_diệt tuỷ xương bị bệnh , sau đó , người_bệnh được truyền tế_bào gốc tạo máu giúp xây_dựng lại tuỷ xương .","Thuốc imatinib ( Glevec ) ngăn_chặn hoạt_động của loại protein trong các tế_bào ung_thư bạch_cầu của những người mắc bệnh_bạch_cầu tuỷ xương mãn_tính , từ đó giúp kiểm_soát bệnh .","B , C."
"Điều_trị suy tim lấy điều_trị nội_khoa làm nền_tảng , kết_hợp giải_quyết các nguyên_nhân suy tim như tái thông mạch vành , phẫu_thuật thay vân , sửa vân , phẫu_thuật sửa_chữa các bệnh_lý tim bẩm_sinh . Có_thể cấy máy tái đồng_bộ tim ( CRT ) , máy phá rung ( ICD ) khi có chỉ_định . Điều_trị nội_khoa : Thuốc ức_chế men chuyển / ức_chế thụ thể AT 1 : là thuốc nền_tảng điều_trị suy tim , cải_thiện được triệu_chứng và tỷ_lệ tử_vong . Chẹn beta giao_cảm : ức_chế các phản_ứng quá mức của hệ giao_cảm , cải_thiện được tỷ_lệ tử_vong và nguy_cơ đột_tử do các rối_loạn nhịp , tăng khả_năng gắng_sức . Lợi_tiểu kháng Aldosterone : cũng là thuốc có_thể cải_thiện được nguy_cơ đột_tử ở bệnh_nhân suy tim . Thuốc lợi_tiểu : lợi_tiểu quai thường dùng trong suy tim ứ huyết , cải_thiện được triệu_chứng suy tim . Digoxin : không cải_thiện được tỷ_lệ tử_vong nhưng cải_thiện được triệu_chứng , cẩn_thận khi dùng kéo_dài , có_thể gây ngộ_độc . Nhóm thuốc kết_hợp Valsartan / Sacubitril : đây là thuốc kết_hợp được phát_triển mạnh_mẽ trong những năm gần đây , hiệu_quả đã được chứng_minh vượt qua ức_chế men chuyển / ức_chế thụ thể đơn_thuần trong điều_trị suy tim . Cấy máy CRT . Có nhiều chỉ_định cho CRT , đặc_biệt là khi suy tim EF ≤ 35 % , QRS ≥ 130 ms mà vẫn còn triệu_chứng dù đã điều_trị nội_khoa tối_ưu . Cấy máy ICD . Có chỉ_định khi suy tim EF ≤ 35 % , tiên_lượng sống thêm ≥ 1 năm , còn triệu_chứng dù đã điều_trị nội_khoa tối_ưu do bệnh cơ tim giãn , bệnh tim thiếu máu cục_bộ hoặc bệnh_nhân có rối_loạn nhịp thất nặng có_thể gây mất huyết động . Ghép tim . Khi suy tim giai_đoạn cuối , kháng lại với các biện_pháp điều_trị , dưới 65 tuổi . Chống chỉ_định khi có tăng áp phổi cố_định , bệnh_lý toàn_thân nặng , ung_thư phát_hiện dưới 5 năm . nan . nan . nan . nan .","Anh_Tuấn , 60 tuổi , có thói_quen ít vận_động và thường_xuyên hút thuốc_lá . Anh nhận_thức được rằng lối sống không lành_mạnh của mình có_thể dẫn đến suy tim . Vì_vậy , anh muốn tìm_hiểu về các biện_pháp điều_trị nếu chẳng may gặp vấn_đề .",Cấy máy tái đồng_bộ tim .,Cấy máy phá rung .,Sử_dụng thuốc ức_chế men chuyển .,Chẹn beta giao_cảm .,"A , B , C , D."
"Hiện_nay điều_trị tim bẩm_sinh có hai phương_pháp chính : phẫu_thuật sửa_chữa hoặc can_thiệp qua da . Phẫu_thuật : có_thể phẫu_thuật sửa_chữa toàn_bộ hoặc phẫu_thuật tạm_thời ( cầu_nối chủ phổi , phẫu_thuật Gleen . ) để chuẩn_bị cho các bước sửa_chữa tiếp_theo . Phẫu_thuật sửa_chữa có_thể rất đơn_giản như vá thông liên nhĩ , vá thông liên thất nhưng cũng có_thể rất phức_tạp như phẫu_thuật Switch ( cắm lại động_mạch chủ và động_mạch phổi trong đảo gốc động_mạch ) Can_thiệp qua da : đây là phương_pháp điều_trị được phát_triển mạnh_mẽ trong thời_gian gần đây , trong đó Vinmec là đơn_vị tích_cực triển_khai các kỹ_thuật như thay van động_mạch chủ qua da ( TAVI ) . Có_thể can_thiệp điều_trị bít thông liên nhĩ , bít thông liên thất , nong van động_mạch phổi . mà không cần mở ngực . Dụng_cụ được đưa đến tổn_thương qua đường mạch_máu . Cũng có_thể điều_trị tạm_thời như phá vách liên nhĩ trong đảo gốc động_mạch . Thực_hiện can_thiệp qua da cần có một ekip cùng chuyên_gia có kinh_nghiệm . nan . nan . nan . nan .",Có hai phương_pháp chính để chữa_trị cho bệnh tim bẩm_sinh là phẫu_thuật sữa chữa và can_thiệp qua da . Đâu là những đặc_điểm của phương_pháp phẫu_thuật sữa chữa ?,Rất phổ_biến và phát_triển mạnh_mẽ hiện_nay .,Là phương_pháp đơn_giản .,Là phương_pháp phức_tạp .,Cần phải có ekip và chuyên_gia có nhiều kinh_nghiệm .,"B , C."
"Chẩn_đoán tiểu_đường nói_chung ( theo hiệp_hội đái_tháo_đường Mỹ ) : Đường_huyết bất_kì > 11,1 mmol / l , kèm triệu_chứng của tăng đường_huyết ( ăn nhiều , uống nhiều , tiểu nhiều , gầy nhiều ) Đường_huyết lúc đói ( nhịn ăn > 8-14 h ) > 7 mmol trong 2 buổi sáng khác nhau . Đường_huyết 2 giờ sau khi uống 75 g glucose > 11,1 mmol / l ( nghiệm pháp tăng đường_huyết ) HbA1C ( định_lượng bằng phương_pháp sắc kí lỏng ) > 6,5 % Ngoài_ra : Nghĩ đến tiểu_đường tuýp 1 khi : tuổi khởi_phát < 3 0 , triệu_chứng rầm_rộ , tiền_sử gia_đình có người bị bệnh , mắc bệnh tự miễn khác . Xét_nghiệm có kháng_thể kháng đảo tuỵ , định_lượng insulin máu thấp hoặc bằng 0 . Các xét_nghiệm khác : Cholesterol , HDL-C , LDL-C , Triglycerid , tổng phân_tích nước_tiểu tìm protein niệu , xét_nghiệm nước_tiểu 24 h . Soi đáy mắt : tìm các tổn_thương võng_mạc . Điện_tâm_đồ : tìm các dấu_hiệu của bệnh mạch vành . nan . nan . nan . nan .","Anh_Tuấn , 26 tuổi , có mẹ mắc bệnh tiểu_đường tuýp 1 . Sau 2 tháng liên_tục ăn nhiều , uống nhiều , tiểu nhiều nhưng lại rất gầy so với trước , anh đã đến bệnh_viện kiểm_tra và có được chỉ_định đo đường_huyết bất_kì ( kết_quả là 13,2 mmol / l ) . Bác_sĩ đã kết_luận anh mắc phải tiểu_đường tuýp 1 . Vậy bác_sĩ đã thông_qua những biện_pháp chẩn_đoán nào ?","Tuổi < 30 , tiền_sử gia_đình có người bị bệnh . triệu_chứng rầm_rộ ( ăn nhiều , uống nhiều , tiểu nhiều , gầy nhiều ) , kết_quả đường_huyết bất_kì > 11,1 mmol / l .",Kết_quả đường_huyết lúc đói ( nhịn ăn > 8 h-14 h ) > 7 mmol trong 2 buổi sáng khác nhau .,Kết_quả xét_nghiệm định_lượng Cholesterol toàn_phần .,Kết_quả đo điện_tâm_đồ .,A.
"Các nguyên_nhân viêm tuyến vú có_thể là : Bệnh_nhân cho con bú sai kỹ_thuật dẫn đến sữa bị mắc_kẹt trong vú gây ra viêm_nhiễm . Ống dẫn sữa bị tắc làm cho sữa chảy ngược vào trong vú , từ đó dẫn viêm_nhiễm . Vi_khuẩn từ mũi và miệng của trẻ thông_qua những vết nứt ở núm vú hoặc qua tuyến sữa khi cho bú xâm_nhập vào vú . nan . nan . nan . nan .","Chị Hoa được chẩn_đoán mắc viêm tuyến vú sau khi sinh con được 7 tuần . Sau khi khám bệnh ở trung_tâm y_tế gần nhà , bác_sĩ cũng cho chị Hoa biết về nguyên_nhân dẫn đến viêm tuyến vú . Vậy ý nào sau đây đúng khi nói về nguyên_nhân dẫn đến viêm tuyến vú ?","Ống dẫn sữa bị tắc làm cho sữa chảy ngược vào trong vú , từ đó dẫn viêm_nhiễm .",Vi_khuẩn từ mũi và miệng của trẻ thông_qua những ống dẫn sữa ở núm vú hoặc qua tuyến sữa khi cho bú xâm_nhập vào vú .,Bệnh_nhân cho con bú sai kỹ_thuật dẫn đến sữa bị mắc_kẹt trong vú gây ra viêm_nhiễm .,Do giãn ống tuyến vú làm cho các ống dẫn sữa bị tắc hoặc mở_rộng hơn .,"A , C."
"Nhiễm_độc thai_nghén là gì ? Nhiễm_độc thai_nghén là một tình_trạng bệnh_lý riêng_biệt của phụ_nữ khi mang thai , xuất_hiện vào quý I và quý III của thai kỳ với những biểu_hiện khác nhau . Để hiểu rõ nhiễm_độc thai_nghén có nguy_hiểm không , trước_hết người_bệnh cần biết nhiễm_độc thai_nghén là như_thế_nào . Đây là bệnh_lý gây ra do sự rối_loạn co thắt các mạch_máu của người mẹ , bao_gồm cả hệ_thống mạch_máu ngoại biên và mạch_máu nội_tạng như gan , thận , tử_cung , não . Hệ_quả của hiện_tượng này là sự thiếu máu nuôi_dưỡng các cơ_quan của mẹ và nhau thai , gây ra nhiều biến_chứng nghiêm_trọng cho cả thai và mẹ . Nhiễm_độc thai_nghén luôn đi trước trong hầu_hết các trường_hợp sản_giật , là biến_chứng nghiêm_trọng thường xảy ra trong 3 tháng cuối thai kỳ với tỷ_lệ tử_vong rất cao . Những đứa trẻ được sinh ra từ người mẹ bị nhiễm_độc thai_nghén thường nhẹ cân , chậm phát_triển so với tuổi thai và dễ bị ngạt sau sinh . Triệu_chứng nhiễm_độc thai_nghén nổi_bật trong 3 tháng đầu_thai kỳ là nghén nặng , thai_phụ thường nôn nghén quá_độ , ăn_uống kém . Mặt_khác triệu_chứng nhiễm_độc thai_nghén trong 3 tháng cuối thai kỳ là phù , tăng huyết_áp , xuất_hiện protein trong nước_tiểu . Nguyên_nhân gây ra nhiễm_độc thai_nghén hiện_nay còn chưa rõ nên việc điều_trị nhiễm_độc thai_nghén còn nhiều khó_khăn . Thuật_ngữ “ nhiễm_độc thai_nghén ” có ý_nghĩa ám_chỉ quá_trình thai_nghén gây độc lên cơ_thể của người phụ_nữ mang thai . Thuật_ngữ này hiện_nay không còn được sử_dụng phổ_biến như trước nữa , được thay_thế bằng thuật_ngữ “ tăng huyết_áp thai kỳ-tiền sản giật-sản giật ” . nan . nan . nan . nan .","Bệnh nhiễm_độc thai kỳ là một bênh lý xảy ra ở phụ_nữ mang thai , tuy_nhiên cái tên này hiện không còn được sử_dụng phổ_biến như trước . Thuật_ngữ “ nhiễm_độc thai_nghén ” hiện đã được thay_thế bằng những thuật_ngữ nào khác ?",Tăng huyết_áp thai kỳ .,Tiền sản_giật .,Sản_giật .,Nhau bong non .,"A , B , C."
"Việc nhận_biết dấu_hiệu của bệnh càng sớm sẽ giúp_ích cho việc điều_trị kịp_thời và tỷ_lệ trị khỏi hoàn_toàn cao hơn . Ung_thư tuyến_giáp có_thể xuất_hiện từ_từ , tăng dần , triệu_chứng của ung_thư tuyến_giáp bao_gồm : Triệu_chứng sớm : Xuất_hiện khối_u ở cổ : có_thể dễ_dàng phát_hiện dấu_hiệu này do tuyến_giáp nằm ở phía trước vùng cổ . Khối_u có đặc_điểm cứng , bờ rõ , bề_mặt có_thể nhẵn hay gồ_ghề , di_động theo nhịp nuốt . Có hạch vùng cổ : hạch thường nhỏ , mềm , di_động và cùng bên với khối_u . Triệu_chứng muộn : Khối_u to , rắn , cố_định trước cổ . Khàn tiếng , có_thể khó thở do khối_u to dần lên chèn_ép vào thanh_quản , khí_quản . Khó nuốt , nuốt vướng , do u chèn_ép vào thực_quản . Da vùng cổ có_thể bị thâm_nhiễm hoặc sùi loét chảy_máu . nan . nan . nan . nan .","Ung_thư tuyến_giáp có 2 loại triệu_chứng khác nhau , triệu_chứng sớm và triệu_chứng muộn . Đâu là những triệu_chứng sẽ xuất_hiện muộn hơn trong quá_trình diễn_biến của bệnh ung_thư tuyến_giáp ?","Khối_u to , rắn .",Khàn tiếng .,Da bị thâm_nhiễm .,Xuất_hiện khối_u .,"A , B , C."
"Các triệu_chứng ban_đầu của ung_thư phế_quản phổi nguyên_phát có_thể nhẹ đến mức họ người_bệnh không bấm chuông báo_động . Đôi_khi , các triệu_chứng không được chú_ý cho đến khi ung_thư đã lan rộng . Đây là một_số triệu_chứng phổ_biến nhất của ung_thư phổi : Ho dai_dẳng hoặc càng_ngày_càng tồi_tệ hơn . Khò_khè . Ho ra máu và chất nhầy . Càng đau ngực khi hít thở sâu , cười hoặc ho . Khó thở . Khàn tiếng . Mệt_mỏi . Thường_xuyên mắc viêm phế_quản hoặc viêm phổi và tình_trạng bệnh thường kéo_dài . Các triệu_chứng mà ung_thư đã di_căn có_thể bao_gồm : Đau hông hoặc lưng . Nhức đầu , chóng_mặt hoặc co_giật . Tê ở cánh_tay hoặc chân . Vàng mắt và vàng da . Hạch bạch_huyết phì đại . Giảm cân không rõ nguyên_nhân . Có 2 loại ung_thư biểu mô phế_quản chính : Ung_thư phổi tế_bào nhỏ : Ung_thư phổi tế_bào nhỏ được đặt tên cho sự xuất_hiện của các tế_bào nhỏ dưới kính_hiển_vi . Loại ung_thư này có ở khoảng 15 % những người bị ung_thư phổi . Ung_thư phổi không phải tế_bào nhỏ : Ung_thư phổi không phải tế_bào nhỏ chiếm phần_lớn ung_thư phế_quản ( khoảng 80 % ) gồm ung_thư biểu mô tuyến phổi , ung_thư biểu mô tế_bào vảy của phổi và ung_thư phổi tế_bào lớn . nan . nan . nan . nan .","Ông Bình gần đây bắt_đầu cảm_thấy khó thở và ho kéo_dài mà không có dấu_hiệu cải_thiện . Lo_ngại rằng đây có_thể là dấu_hiệu của ung_thư phế_quản , ông muốn tìm_hiểu kỹ về các biểu_hiện của bệnh để có_thể nhận_diện sớm và tìm_kiếm sự chăm_sóc y_tế kịp_thời .",Ho dai_dẳng .,Khò_khè .,Ho ra máu .,Khàn tiếng .,"A , B , C , D."
"Thủ_thuật nội_soi : Việc nội_soi dạ_dày sẽ giúp bác_sĩ_quan_sát một_cách rõ_ràng và chi_tiết đồng_thời đánh_giá chính_xác mức_độ bệnh . Từ đó cũng tiên_lượng khả_năng điều_trị vì có những ổ loét đơn_giản có_thể điều_trị nội_khoa nhưng những ổ loét xấu , xù_xì , lồi_lõm , xơ chai có_thể là ung_thư dạ_dày_thể loét . Khi đó bác_sĩ nội_soi tiêu_hoá sẽ sinh_thiết bờ ổ loét để chẩn_đoán ung_thư dạ_dày sớm . Xét_nghiệm máu , phân : Giúp đánh_giá tình_trạng thiếu máu , đặc_biệt trong trường_hợp viêm loét dạ_dày có biến_chứng xuất_huyết tiêu_hoá , nồng_độ các enzym niêm_mạc dạ_dày và tình_trạng hồng_cầu trong phân . nan . nan . nan . nan .","Thủ_thuật nội_soi : Việc nội_soi dạ_dày sẽ giúp bác_sĩ_quan_sát một_cách rõ_ràng và chi_tiết đồng_thời đánh_giá chính_xác mức_độ bệnh . Từ đó cũng tiên_lượng khả_năng điều_trị vì có những ổ loét đơn_giản có_thể điều_trị nội_khoa nhưng những ổ loét xấu , xù_xì , lồi_lõm , xơ chai có_thể là ung_thư dạ_dày_thể loét . Trong các pháp chẩn_đoán viêm loét dạ_dày , xét_nghiệm máu , phân trong viêm loét dạ_dày không giúp đánh_giá điều gì ?",Tình_trạng sức_khoẻ tổng_quát của bệnh_nhân .,"Tình_trạng thiếu máu , nồng_độ các enzym niêm_mạc dạ_dày và tình_trạng hồng_cầu trong phân , đặc_biệt trong trường_hợp viêm loét dạ_dày có biến_chứng xuất_huyết tiêu_hoá .",Tình_trạng hô_hấp của bệnh_nhân .,Tình_trạng thần_kinh của bệnh_nhân .,"A , C , D."
"Nguyên_nhân gây đau nửa đầu đến nay vẫn chưa được hiểu rõ . Người ta nhận thấy có trên 60 % trường_hợp bệnh_nhân đau nửa đầu có bố_mẹ cũng mắc phải chứng đau nửa đầu . Có nhiều giả_thuyết được đưa ra để giải_thích cơ_chế gây bệnh . Giả_thuyết được công_nhận nhiều nhất là đau nửa đầu có liên_quan với sự thay_đổi nào đó ở não trong việc hoạt_động của dây_thần_kinh sinh ba . Ngoài_ra , sự rối_loạn của các chất trung_gian , đặc_biệt là serotonin cũng có_thể là một trong những nguyên_nhân gây nên đau_đầu . Một_số thực_phẩm được cho là có khả_năng thúc_đẩy tình_trạng đau nửa đầu bao_gồm socola , rượu và các chất có cồn , phô_mai , hành_tây , thức_ăn béo và thực_phẩm có tính axit . nan . nan . nan . nan .","Nguyên_nhân gây đau nửa đầu đến nay vẫn chưa được hiểu rõ . Có nhiều giả_thuyết được đưa ra để giải_thích cơ_chế gây bệnh . Giả_thuyết được công_nhận nhiều nhất là đau nửa đầu có liên_quan với sự thay_đổi nào đó ở não trong việc hoạt_động của dây_thần_kinh sinh ba . Ngoài_ra , sự rối_loạn của các chất trung_gian , đặc_biệt là serotonin cũng có_thể là một trong những nguyên_nhân gây nên đau_đầu . Một_số thực_phẩm được cho là có khả_năng thúc_đẩy tình_trạng đau nửa đầu là gì ?",Hành_tây .,Socola .,Thực_phẩm có tính axit .,Rượu và các chất có cồn .,"A , B , C , D."
"Viêm ruột_thừa xảy ra khi ruột_thừa bị tắc_nghẽn , thường do phân , dị_vật hoặc ung_thư . Sự tắc_nghẽn cũng có_thể là hậu_quả của việc viêm_nhiễm vì ruột_thừa thường phù_nề và tăng tiết dịch để đáp_ứng với bất_kỳ tình_trạng viêm_nhiễm nào trong cơ_thể . Khi tắc_nghẽn , vi_khuẩn thường nhân lên nhanh_chóng , làm ruột_thừa bị viêm , phù_nề và ứ dịch , tạo thành vòng xoắn bệnh_lý . nan . nan . nan . nan .","Ngày_nay , bệnh viêm ruột_thừa là một bệnh vô_cùng phổ_biến , nếu không chữa_trị kịp_thời , bệnh sẽ đem lại đau_đớn cũng như gây ảnh_hưởng xấu đến sức_khoẻ . Tình_trạng viêm ruột_thừa thường xảy ra khi nào ?",Ruột_thừa bị tắc_nghẽn .,Do ung_thư .,Do các dị_vật .,Do vấn_đề về phân .,"A , B , C , D."
"Đau cổ vai gáy là tình_trạng cơ vùng vai gáy co cứng gây đau , kèm theo các hạn_chế vận_động khi quay cổ hoặc quay đầu . Bệnh thường xuất_hiện vào buổi sáng và có liên_quan chặt_chẽ đến hệ_thống cơ xương khớp và mạch_máu vùng vai gáy . Với bệnh đau cổ vai gáy , ban_đầu bệnh_nhân có cảm_giác đau nhẹ , mỏi vùng vai gáy và hạn_chế vận_động ở vùng cổ gáy , vùng đầu , tình_trạng này thường xuất_hiện tự_phát hoặc sau khi lao_động nặng . nan . nan . nan . nan .","Nhân_viên văn_phòng và những người thường_xuyên phải bê vác nặng là những đối_tượng có nguy_cơ cao bị đau cổ vai gáy , nếu không điều_trị kịp_thời có_thể gây hẹp ống sống , chèn_ép tuỷ_sống vùng cổ . Vậy đau cổ vai gáy là gì ?","Đau cổ vai gáy là tình_trạng cơn đau toả ra dọc theo đường đi của dây_thần_kinh toạ , nhánh từ cổ qua gáy và xuống dưới vai .","Đau cổ vai gáy là tình_trạng cơ vùng vai gáy co cứng gây đau , kèm theo các hạn_chế vận_động khi quay cổ hoặc quay đầu .","Đau cổ vai gáy là tình_trạng đau và hạn_chế vận_động khớp do tổn_thương gân , bao khớp , dây_chằng .","Đau cổ vai gáy là tình_trạng nhân nhầy đĩa_đệm cột_sống cổ thoát khỏi bao xơ chèn_ép các rễ thần_kinh hoặc tuỷ_sống ở cổ , vai , gáy .",B.
"Bệnh viêm phế_quản là một bệnh_lý phổ_biến . Bệnh có_thể gặp ở mọi lứa tuổi . Những đối_tượng sau làm tăng nguy_cơ bệnh viêm phế_quản : Người nghiện_hút thuốc_lá . Người hay tiếp_xúc với nguồn không_khí bị ô_nhiễm , hít phải hơi độc , bụi bẩn hoặc người thường_xuyên làm_việc với các chất gây kích_thích đường hô_hấp như bông dệt , khói hoá_học . Người có sức đề_kháng yếu hoặc người mắc bệnh mãn_tính gây suy_giảm hệ_thống miễn_dịch . Yếu_tố tuổi_tác : người cao_tuổi có nguy_cơ nhiễm_trùng cao vì_vậy dễ mắc bệnh hơn . Đặc_biệt cần lưu_ý bệnh viêm phế_quản ở trẻ_em . Bệnh này rất thường_xuyên gặp ở trẻ_em , ở bất_kì độ tuổi nào . Môi_trường ô_nhiễm hoặc thời_tiết thay_đổi là những tác_nhân tạo điều_kiện cho bệnh phát_sinh . Khởi_đầu bệnh có_thể do virus gây nên , trẻ bị viêm đường hô_hấp trên , cúm , cảm lạnh , ho , sổ_mũi . kéo_dài nếu không được điều_trị sớm , dứt_điểm cộng thêm sức đề_kháng yếu dễ chuyển thành viêm phế_quản . nan . nan . nan . nan .","Theo Tổ_chức Y_tế thế_giới , bệnh phổi tắc_nghẽn mạn_tính hiện là nguyên_nhân gây tử_vong và tàn_phế đứng hàng thứ 4 trên thế_giới với khoảng 50 triệu người mắc và 3 triệu người chết hàng năm . Theo bạn viêm phế_quản có_thể gặp ở lứa tuổi nào ?",Trẻ_em dưới 5 tuổi .,Người trưởng_thành .,Những người trên 65 tuổi .,Mọi lứa tuổi .,D.
"Mặc_dù không có biện_pháp ngăn_ngừa hoàn_toàn lạc nội mạc tử_cung , phụ_nữ vẫn có_thể thực_hiện một_số biện_pháp để giảm nguy_cơ mắc bệnh như : Tập_thể_dục thường_xuyên để kiểm_soát tỉ_lệ mỡ cơ_thể . Tránh đồ uống có cồn . Khám sức_khoẻ tổng_thể thường_xuyên để phát_hiện các bất_thường . nan . Caffeine không liên_quan đến nồng_độ estrogen . Soda và trà xanh có nồng_độ estrogen cao hơn những phụ_nữ không uống . Đậu_đen là thực_phẩm đáp_ứng được lượng Estrogen cần_thiết cho cơ_thể . Với hàm_lượng chất xơ cao , đậu_đen giúp làm giảm nồng_độ Cholesterol trong máu , là thực_phẩm bảo_vệ sức_khoẻ không_thể thiếu trong chế_độ ăn cân_bằng dưỡng_chất .","Trong biện_pháp phòng_ngừa tử_cung , cần tránh đồ uống có cồn để giảm nồng_độ estrogen trong cơ_thể . Vậy chúng_ta nên uống gì để không phải lo_ngại đến hàm_lượng estrogen ?",Rượu .,Caffein .,Soda .,Sữa đậu_đen .,B.
